,ID,Country,Date Start,Date end intended,Description of measure implemented,Implementing State/Province,Keywords,Target region,education_closure,outdoor_gatherings_banned,sports cancellation,compulsory isolation,international travel ban,business suspension,blanket isolation,blanket curfew,social distancing
0,163,Austria,2020-03-16,,On 10 March 2020 government announced that all universities will close their classes at the latest by 16 March.,,university closure,,1.0,,,,,,,,
2,578,United Kingdom,2020-03-20,,"All schools, nurseries and colleges closed.",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
10,148,Vietnam,2020-02-08,,"The school break in Vietnam was extended in all 63 first-level subdivisions, with the majority to 16 February and five to an unspecified time.",,school closure,,1.0,,,,,,,,
12,138,Vietnam,2020-02-03,2020-02-10,Lunar New Year holidays was extended for one week to all k-through-12 students in Ho Chi Minh City; public schools will resume on 10 February.,,school closure,,1.0,,,,,,,,
19,,South Korea,2020-03-17,,"Child cares, Kindergartens- remain to be closed until 5 April 2020/ All schools postponed commencements to 3 April 2020 ",,school closure,,1.0,,,,,,,,
28,,South Korea,2020-03-02,,"Ministry of Education- postponed commencement of kindergarten, primary and high schools for another two weeks (9 March to 23 March)  ",,school closure,,1.0,,,,,,,,
32,,South Korea,2020-03-01,,Both ministry of education in Korea and China agreed to discourage both Korean and China international students to enter into both countries for upcoming semester until COVID19 resolved.  (if they enter in either nations- special entry procedure will be implemented) ,,university closure,,1.0,,,,,,,,
63,,Sweden,2020-03-18,,High schools and universities told to  stop in-person classes ,,"compulsory isolation, school closure, university closure",,1.0,,,,,,,,
74,426,Slovenia,2020-03-16,,all educational institutions are closed,,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
89,,Israel,2020-03-15,,"Closure of all educational institutions, among them daycare centers, special education, youth movements and after-school programs.",,school closure,,1.0,,,,,,,,
